ExerciseID,한글명,English,모달리티,계열,MinLevel,SkillComplexity,충격,처방단위,기본용량_원문,상대부하,금기_주의,회귀_원문,회귀_해석됨,진행_원문,진행_해석됨,SourceID,SourceURL,CrossFitMovementsURL,공식YouTube
EX001,에어 스쿼트,Air Squat,체조,스쿼트,1,1,낮음,회,2~4×10~20,무부하,급성 무릎 통증,박스 스쿼트,미해석,고블릿 스쿼트,고블릿 스쿼트,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=C_VtOYc6j5c
EX002,고블릿 스쿼트,Goblet Squat,웨이트리프팅,스쿼트,1,1,낮음,세트×회,3~5×6~12,가벼움~중간,급성 무릎/고관절 통증,박스 고블릿 스쿼트,미해석,프론트 스쿼트,프론트 스쿼트,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX003,프론트 스쿼트,Front Squat,웨이트리프팅,스쿼트,1,2,중간,세트×회,3~5×3~6 @RIR2~4,중간~무거움,손목/어깨 프론트랙 제한,고블릿 스쿼트,고블릿 스쿼트,템포/포즈 프론트 스쿼트,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=m4ytaCJZpl0
EX004,백 스쿼트,Back Squat,웨이트리프팅,스쿼트,1,2,중간,세트×회,3~5×3~8 @RIR2~4,중간~무거움,급성 요통/무릎 통증,박스 스쿼트,미해석,포즈 백 스쿼트,미해석,S03,https://stronglifts.com/stronglifts-5x5/workout-program/,https://www.crossfit.com/essentials/movements,
EX005,오버헤드 스쿼트,Overhead Squat,웨이트리프팅,스쿼트,1,3,중간,품질회,4~6×2~5,가벼움~중간,어깨 가동성 제한,PVC OHS/프론트 스쿼트,프론트 스쿼트,스내치 밸런스,스내치 밸런스,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=RD_vUnqwqqI
EX006,불가리안 스플릿 스쿼트,Bulgarian Split Squat,웨이트리프팅,편측 하체,1,2,낮음,세트×회/측,2~4×6~12,중간,균형 불안/급성 무릎 통증,스플릿 스쿼트,미해석,프론트랙 BSS,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX007,리버스 런지,Reverse Lunge,웨이트리프팅,편측 하체,1,1,낮음,회/측,2~4×8~16,가벼움~중간,급성 무릎 통증,지지 런지,미해석,프론트랙 런지,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX008,워킹 런지,Walking Lunge,웨이트리프팅,편측 하체,1,1,중간,m/회,20~100m,무부하~중간,무릎/아킬레스 통증,제자리 런지,미해석,오버헤드 런지,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX009,박스 스텝업,Box Step-up,체조,편측 하체,1,1,낮음,회/측,2~4×8~20,무부하~중간,균형 불안,낮은 박스,미해석,덤벨 스텝업,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX010,피스톨,Pistol Squat,체조,편측 하체,2,4,중간,품질회/측,3~6×2~6,무부하,무릎 통증/발목 제한,박스 피스톨,미해석,가중 피스톨,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX011,데드리프트,Deadlift,웨이트리프팅,힌지,1,2,중간,세트×회,1~5×3~8,중간~무거움,급성 요통,상승 데드리프트/KB 데드리프트,미해석,포즈/디피싯 데드리프트,미해석,S03,https://stronglifts.com/stronglifts-5x5/workout-program/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=op9kVnSso6Q
EX012,루마니안 데드리프트,Romanian Deadlift,웨이트리프팅,힌지,1,2,낮음,세트×회,2~4×6~12,중간,급성 햄스트링/요통,덤벨 RDL 짧은 ROM,미해석,싱글레그 RDL,싱글레그 RDL,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX013,케틀벨 데드리프트,Kettlebell Deadlift,웨이트리프팅,힌지,1,1,낮음,회,2~4×8~15,가벼움~중간,급성 요통,상승 KB 데드리프트,미해석,바벨 데드리프트,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX014,케틀벨 스윙,Kettlebell Swing,웨이트리프팅,힌지,1,2,중간,회,8~25/세트,가벼움~중간,급성 요통/어깨 통증,KB 데드리프트,미해석,러시안→오버헤드 스윙,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,https://www.youtube.com/watch?v=mKDIuUbH94Q
EX015,굿모닝,Good Morning,웨이트리프팅,힌지,1,2,낮음,세트×회,2~4×6~12,가벼움~중간,급성 요통,밴드 굿모닝,미해석,템포 굿모닝,미해석,S14,https://www.catalystathletics.com/exercises/,https://www.crossfit.com/essentials/movements,
EX016,싱글레그 RDL,Single-leg Romanian Deadlift,웨이트리프팅,편측 힌지,1,2,낮음,회/측,2~4×6~10,가벼움~중간,균형 불안/햄스트링 통증,킥스탠드 RDL,미해석,가중 싱글레그 RDL,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX017,벤치프레스,Bench Press,웨이트리프팅,수평 밀기,1,2,낮음,세트×회,3~5×3~8,중간~무거움,급성 어깨/흉근 통증,덤벨/푸시업,푸시업,포즈 벤치프레스,미해석,S03,https://stronglifts.com/stronglifts-5x5/workout-program/,https://www.crossfit.com/essentials/movements,
EX018,덤벨 벤치프레스,Dumbbell Bench Press,웨이트리프팅,수평 밀기,1,1,낮음,세트×회,2~4×6~12,중간,어깨 통증,푸시업,푸시업,편측 DB 벤치,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX019,푸시업,Push-up,체조,수평 밀기,1,1,낮음,회,3~5×5~20,무부하,손목/어깨 통증,인클라인 푸시업,미해석,링/디피싯 푸시업,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
EX020,딥,Dip,체조,수직 밀기,2,3,중간,회,3~5×3~12,체중,전방 어깨 통증,박스 딥/밴드 딥,미해석,링/가중 딥,미해석,S15,https://www.crossfit.com/movements/,https://www.crossfit.com/essentials/movements,
